year,geo_name,geo,total_reimbursements_b
2011,"Monroe County","05000US21171",13271.0
2014,"Franklin Parish","05000US22041",13268.0
2011,"Trousdale County","05000US47169",13262.0
2013,"Atoka County","05000US40005",13260.0
2011,"Red River Parish","05000US22081",13257.0
2010,"Charlton County","05000US13049",13255.0
2012,"Butler County","05000US21031",13255.0
2012,"Scioto County","05000US39145",13246.0
2010,"Pickett County","05000US47137",13243.0
2012,"Baker County","05000US12003",13241.0
2013,"Vernon Parish","05000US22115",13237.0
2012,"Morehouse Parish","05000US22067",13233.0
2010,"West Carroll Parish","05000US22123",13227.0
2014,"San Jacinto County","05000US48407",13221.0
2010,"Lake County","05000US47095",13215.0
2012,"Vernon Parish","05000US22115",13205.0
2013,"Throckmorton County","05000US48447",13204.0
2010,"Clinch County","05000US13065",13204.0
2012,"Trimble County","05000US21223",13203.0
2013,"Collingsworth County","05000US48087",13192.0
2012,"Madison Parish","05000US22065",13190.0
2010,"Lincoln County","05000US20105",13187.0
2011,"Hardeman County","05000US48197",13186.0
2014,"Magoffin County","05000US21153",13182.0
2012,"Perry County","05000US21193",13172.0
2010,"Scioto County","05000US39145",13169.0
2012,"Hamilton County","05000US20075",13166.0
2011,"Hidalgo County, TX","05000US48215",13164.0
2013,"Wheeler County","05000US13309",13155.0
2010,"Love County","05000US40085",13147.0
2011,"San Jacinto County","05000US48407",13146.0
2012,"Charlton County","05000US13049",13137.0
2013,"Winn Parish","05000US22127",13134.0
2011,"Harmon County","05000US40057",13129.0
2012,"Johnston County","05000US40069",13122.0
2014,"Claiborne County","05000US28021",13117.0
2010,"Richland Parish","05000US22083",13112.0
2013,"Clinton County","05000US21053",13109.0
2012,"Borden County","05000US48033",13101.0
2010,"Johnston County","05000US40069",13096.0
2010,"Parmer County","05000US48369",13095.0
2010,"Red River County","05000US48387",13095.0
2013,"Culberson County","05000US48109",13094.0
2013,"Charlton County","05000US13049",13086.0
2013,"Okeechobee County","05000US12093",13080.0
2012,"Bryan County","05000US40013",13075.0
2012,"Franklin Parish","05000US22041",13073.0
2014,"Stonewall County","05000US48433",13071.0
2013,"Scott County","05000US20171",13070.0
2013,"Starr County","05000US48427",13068.0
2011,"Claiborne Parish","05000US22027",13067.0
2014,"Glades County","05000US12043",13067.0
2011,"Clarke County","05000US28023",13058.0
2010,"Little River County","05000US05081",13054.0
2010,"St. Tammany Parish, LA","05000US22103",13054.0
2010,"Catahoula Parish","05000US22025",13054.0
2011,"Jefferson County","05000US28063",13053.0
2013,"Richland Parish","05000US22083",13052.0
2012,"Clinton County","05000US21053",13043.0
2012,"Owen County","05000US21187",13037.0
2013,"Gallatin County","05000US21077",13021.0
2014,"Clarke County","05000US28023",13018.0
2010,"Clinton County","05000US21053",13015.0
2011,"Lynn County","05000US48305",13013.0
2011,"St. Tammany Parish, LA","05000US22103",13013.0
2010,"Clark County","05000US20025",13005.0
2013,"Scioto County","05000US39145",13003.0
2013,"Crane County","05000US48103",13003.0
2011,"Smith County","05000US47159",12991.0
2012,"Clarke County","05000US28023",12988.0
2012,"Magoffin County","05000US21153",12982.0
2013,"Clinch County","05000US13065",12979.0
2011,"Lauderdale County","05000US47097",12970.0
2013,"LaSalle Parish","05000US22059",12969.0
2014,"Hancock County","05000US47067",12966.0
2014,"Simpson County","05000US21213",12962.0
2011,"Martin County","05000US21159",12961.0
2012,"Newton County","05000US28101",12960.0
2013,"Union Parish","05000US22111",12956.0
2012,"Floyd County","05000US21071",12955.0
2011,"Coal County","05000US40029",12954.0
2010,"Butler County","05000US21031",12951.0
2010,"Stonewall County","05000US48433",12950.0
2013,"Owen County","05000US21187",12948.0
2011,"Owen County","05000US21187",12945.0
2013,"West Carroll Parish","05000US22123",12936.0
2011,"Liberty County","05000US48291",12931.0
2011,"Bryan County","05000US40013",12928.0
2013,"Catahoula Parish","05000US22025",12928.0
2010,"Roger Mills County","05000US40129",12927.0
2012,"Stone County","05000US28131",12925.0
2010,"Franklin County","05000US28037",12924.0
2011,"Jack County","05000US48237",12919.0
2014,"Vernon Parish","05000US22115",12918.0
2013,"Hardin County","05000US17069",12914.0
2010,"Houston County","05000US47083",12914.0
2011,"Jackson Parish","05000US22049",12899.0
2010,"Floyd County","05000US21071",12899.0
2013,"Twiggs County","05000US13289",12898.0
2013,"Clay County","05000US21051",12891.0
2014,"Catahoula Parish","05000US22025",12890.0
2010,"Red River Parish","05000US22081",12890.0
2010,"Donley County","05000US48129",12885.0
2011,"Perry County","05000US21193",12881.0
2014,"Wise County","05000US48497",12881.0
2011,"Wallace County","05000US20199",12880.0
2014,"Murray County","05000US40099",12876.0
2011,"Hamilton County","05000US20075",12875.0
2011,"Jackson County","05000US40065",12872.0
2013,"Avoyelles Parish","05000US22009",12871.0
2013,"Calhoun County","05000US12013",12869.0
2011,"Concordia Parish","05000US22029",12865.0
2012,"Greene County","05000US28041",12859.0
2012,"Caldwell County","05000US48055",12859.0
2011,"Clinch County","05000US13065",12851.0
2010,"San Patricio County","05000US48409",12849.0
2013,"Green County","05000US21087",12848.0
