YEAR,POPULATION,COUNT,AGE_ADJUSTED_RATE,AREA
2009,9449566,50090.0,495.5,North Carolina
2010,9558915,50154.0,483.3,North Carolina
2011,9650963,51078.0,479.6,North Carolina
2012,9746175,50524.0,462.2,North Carolina
2013,9841590,52330.0,466.4,North Carolina
2014,9934399,53229.0,461.5,North Carolina
2015,10035186,54429.0,460.6,North Carolina
1999,644259,3186.0,461.1,North Dakota
2000,642023,3202.0,459.4,North Dakota
2001,639062,3268.0,465.7,North Dakota
2002,638168,3317.0,469.6,North Dakota
2003,638817,3298.0,465.3,North Dakota
2004,644705,3340.0,464.7,North Dakota
2005,646089,3486.0,481.2,North Dakota
2006,649422,3513.0,477.9,North Dakota
2007,652822,3609.0,487.4,North Dakota
2008,657569,3539.0,469.3,North Dakota
2009,664968,3496.0,460.1,North Dakota
2010,674526,3609.0,465.7,North Dakota
2011,685476,3744.0,472.4,North Dakota
2012,702087,3757.0,471.0,North Dakota
2013,724019,3616.0,446.7,North Dakota
2014,739904,3651.0,443.7,North Dakota
2015,756835,3737.0,445.9,North Dakota
1999,11335454,57128.0,488.3,Ohio
2000,11363543,55855.0,473.7,Ohio
2001,11387404,57656.0,485.3,Ohio
2002,11407889,58032.0,483.1,Ohio
2003,11434788,57265.0,471.0,Ohio
2004,11452251,58894.0,480.4,Ohio
2005,11463320,60215.0,486.1,Ohio
2006,11481213,60824.0,484.8,Ohio
2007,11500468,61626.0,483.5,Ohio
2008,11515391,63322.0,489.4,Ohio
2009,11528896,63996.0,488.6,Ohio
2010,11540983,61937.0,465.4,Ohio
2011,11544824,63635.0,472.7,Ohio
2012,11550839,62193.0,455.1,Ohio
2013,11570022,63888.0,460.4,Ohio
2014,11594408,64614.0,459.9,Ohio
2015,11605090,65422.0,460.8,Ohio
1999,3437147,16094.0,457.2,Oklahoma
2000,3454365,16346.0,459.3,Oklahoma
2001,3467100,16853.0,470.0,Oklahoma
2002,3489080,17352.0,478.3,Oklahoma
2003,3504892,17981.0,490.1,Oklahoma
2004,3525233,17771.0,478.0,Oklahoma
2005,3548597,17887.0,475.3,Oklahoma
2006,3594090,18971.0,495.0,Oklahoma
2007,3634349,19771.0,506.6,Oklahoma
2008,3668976,18870.0,475.1,Oklahoma
2009,3717572,19009.0,469.1,Oklahoma
2010,3759603,18684.0,453.5,Oklahoma
2011,3786274,18981.0,453.5,Oklahoma
2012,3817054,19217.0,452.7,Oklahoma
2013,3852415,19399.0,449.0,Oklahoma
2014,3877499,19723.0,449.8,Oklahoma
2015,3907414,19761.0,442.1,Oklahoma
1999,3393941,17611.0,509.3,Oregon
2000,3429708,17454.0,497.1,Oregon
2001,3467937,17855.0,499.6,Oregon
2002,3513424,17872.0,488.2,Oregon
2003,3547376,17580.0,470.0,Oregon
2004,3569463,18483.0,484.4,Oregon
2005,3613202,18723.0,478.7,Oregon
2006,3670883,19126.0,475.4,Oregon
2007,3722417,19402.0,471.2,Oregon
2008,3768748,20415.0,483.3,Oregon
2009,3808600,19966.0,462.8,Oregon
2010,3838048,19836.0,450.1,Oregon
2011,3868031,20788.0,461.6,Oregon
2012,3899116,20339.0,439.3,Oregon
2013,3925751,21025.0,444.1,Oregon
2014,3968371,20775.0,428.6,Oregon
2015,4024634,19883.0,399.6,Oregon
1999,12263805,70878.0,502.5,Pennsylvania
2000,12284173,71377.0,504.3,Pennsylvania
2001,12298970,74683.0,524.9,Pennsylvania
2002,12331031,74124.0,517.3,Pennsylvania
2003,12374658,73134.0,506.0,Pennsylvania
2004,12410722,73126.0,503.1,Pennsylvania
2005,12449990,73874.0,504.4,Pennsylvania
2006,12510809,75996.0,513.4,Pennsylvania
2007,12563937,77290.0,515.9,Pennsylvania
2008,12612285,77431.0,511.2,Pennsylvania
2009,12666858,77986.0,509.3,Pennsylvania
2010,12712343,78463.0,506.2,Pennsylvania
2011,12744293,80141.0,511.3,Pennsylvania
